a,b,c,d,stairsum,len
3,2,2,3,6,6
3,3,2,4,8,8
4,2,2,4,8,4
4,2,3,3,8,8
3,4,2,5,10,10
4,3,2,5,10,5
4,3,3,4,10,10
5,2,2,5,10,3.3333333333
5,2,3,4,10,5
5,2,4,3,10,10
3,5,2,6,12,12
4,4,2,6,12,6
4,4,3,5,12,12
5,3,2,6,12,4
5,3,3,5,12,6
5,3,4,4,12,12
6,2,2,6,12,3
6,2,3,5,12,4
6,2,4,4,12,6
6,2,5,3,12,12
3,6,2,7,14,14
4,5,2,7,14,7
4,5,3,6,14,14
5,4,2,7,14,4.6666666667
5,4,3,6,14,7
5,4,4,5,14,14
6,3,2,7,14,3.5
6,3,3,6,14,4.6666666667
6,3,4,5,14,7
6,3,5,4,14,14
7,2,2,7,14,2.8
7,2,3,6,14,3.5
7,2,4,5,14,4.6666666667
7,2,5,4,14,7
7,2,6,3,14,14
3,7,2,8,16,16
4,6,2,8,16,8
4,6,3,7,16,16
5,5,2,8,16,5.3333333333
5,5,3,7,16,8
5,5,4,6,16,16
6,4,2,8,16,4
6,4,3,7,16,5.3333333333
6,4,4,6,16,8
6,4,5,5,16,16
7,3,2,8,16,3.2
7,3,3,7,16,4
7,3,4,6,16,5.3333333333
7,3,5,5,16,8
7,3,6,4,16,16
8,2,2,8,16,2.6666666667
8,2,3,7,16,3.2
8,2,4,6,16,4
8,2,5,5,16,5.3333333333
8,2,6,4,16,8
8,2,7,3,16,16
3,8,2,9,18,18
4,7,2,9,18,9
4,7,3,8,18,18
5,6,2,9,18,6
5,6,3,8,18,9
5,6,4,7,18,18
6,5,2,9,18,4.5
6,5,3,8,18,6
6,5,4,7,18,9
6,5,5,6,18,18
7,4,2,9,18,3.6
7,4,3,8,18,4.5
7,4,4,7,18,6
7,4,5,6,18,9
7,4,6,5,18,18
8,3,2,9,18,3
8,3,3,8,18,3.6
8,3,4,7,18,4.5
8,3,5,6,18,6
8,3,6,5,18,9
8,3,7,4,18,18
9,2,2,9,18,2.5714285714
9,2,3,8,18,3
9,2,4,7,18,3.6
9,2,5,6,18,4.5
9,2,6,5,18,6
9,2,7,4,18,9
9,2,8,3,18,18
3,9,2,10,20,20
4,8,2,10,20,10
4,8,3,9,20,20
5,7,2,10,20,6.6666666667
5,7,3,9,20,10
5,7,4,8,20,20
6,6,2,10,20,5
6,6,3,9,20,6.6666666667
6,6,4,8,20,10
6,6,5,7,20,20
7,5,2,10,20,4
7,5,3,9,20,5
7,5,4,8,20,6.6666666667
7,5,5,7,20,10
7,5,6,6,20,20
8,4,2,10,20,3.3333333333
8,4,3,9,20,4
8,4,4,8,20,5
8,4,5,7,20,6.6666666667
8,4,6,6,20,10
8,4,7,5,20,20
9,3,2,10,20,2.8571428571
9,3,3,9,20,3.3333333333
9,3,4,8,20,4
9,3,5,7,20,5
9,3,6,6,20,6.6666666667
9,3,7,5,20,10
9,3,8,4,20,20
10,2,2,10,20,2.5
10,2,3,9,20,2.8571428571
10,2,4,8,20,3.3333333333
10,2,5,7,20,4
10,2,6,6,20,5
10,2,7,5,20,6.6666666667
10,2,8,4,20,10
10,2,9,3,20,20
3,10,2,11,22,22
4,9,2,11,22,11
4,9,3,10,22,22
5,8,2,11,22,7.3333333333
5,8,3,10,22,11
5,8,4,9,22,22
6,7,2,11,22,5.5
6,7,3,10,22,7.3333333333
6,7,4,9,22,11
6,7,5,8,22,22
7,6,2,11,22,4.4
7,6,3,10,22,5.5
7,6,4,9,22,7.3333333333
7,6,5,8,22,11
7,6,6,7,22,22
8,5,2,11,22,3.6666666667
8,5,3,10,22,4.4
8,5,4,9,22,5.5
8,5,5,8,22,7.3333333333
8,5,6,7,22,11
8,5,7,6,22,22
9,4,2,11,22,3.1428571429
9,4,3,10,22,3.6666666667
9,4,4,9,22,4.4
9,4,5,8,22,5.5
9,4,6,7,22,7.3333333333
9,4,7,6,22,11
9,4,8,5,22,22
10,3,2,11,22,2.75
10,3,3,10,22,3.1428571429
10,3,4,9,22,3.6666666667
10,3,5,8,22,4.4
10,3,6,7,22,5.5
10,3,7,6,22,7.3333333333
10,3,8,5,22,11
10,3,9,4,22,22
11,2,2,11,22,2.4444444444
11,2,3,10,22,2.75
11,2,4,9,22,3.1428571429
11,2,5,8,22,3.6666666667
11,2,6,7,22,4.4
11,2,7,6,22,5.5
11,2,8,5,22,7.3333333333
11,2,9,4,22,11
11,2,10,3,22,22
3,11,2,12,24,24
4,10,2,12,24,12
4,10,3,11,24,24
5,9,2,12,24,8
5,9,3,11,24,12
5,9,4,10,24,24
6,8,2,12,24,6
6,8,3,11,24,8
6,8,4,10,24,12
6,8,5,9,24,24
7,7,2,12,24,4.8
7,7,3,11,24,6
7,7,4,10,24,8
7,7,5,9,24,12
7,7,6,8,24,24
8,6,2,12,24,4
8,6,3,11,24,4.8
8,6,4,10,24,6
8,6,5,9,24,8
8,6,6,8,24,12
8,6,7,7,24,24
9,5,2,12,24,3.4285714286
9,5,3,11,24,4
9,5,4,10,24,4.8
9,5,5,9,24,6
9,5,6,8,24,8
9,5,7,7,24,12
9,5,8,6,24,24
10,4,2,12,24,3
10,4,3,11,24,3.4285714286
10,4,4,10,24,4
10,4,5,9,24,4.8
10,4,6,8,24,6
10,4,7,7,24,8
10,4,8,6,24,12
10,4,9,5,24,24
11,3,2,12,24,2.6666666667
11,3,3,11,24,3
11,3,4,10,24,3.4285714286
11,3,5,9,24,4
11,3,6,8,24,4.8
11,3,7,7,24,6
11,3,8,6,24,8
11,3,9,5,24,12
11,3,10,4,24,24
12,2,2,12,24,2.4
12,2,3,11,24,2.6666666667
12,2,4,10,24,3
12,2,5,9,24,3.4285714286
12,2,6,8,24,4
12,2,7,7,24,4.8
12,2,8,6,24,6
12,2,9,5,24,8
12,2,10,4,24,12
12,2,11,3,24,24
3,12,2,13,26,26
4,11,2,13,26,13
4,11,3,12,26,26
5,10,2,13,26,8.6666666667
5,10,3,12,26,13
5,10,4,11,26,26
6,9,2,13,26,6.5
6,9,3,12,26,8.6666666667
6,9,4,11,26,13
6,9,5,10,26,26
7,8,2,13,26,5.2
7,8,3,12,26,6.5
